CLIENTE: FDFDF | RAZÃO SOCIAL: DFDFD | ENDEREÇO: DFDF | E-MAIL P/ CONTATO: FDF | DFDF | DFDFF
CLIENTE: FDF | RAZÃO SOCIAL: FDF | ENDEREÇO: DFDF | E-MAIL P/ CONTATO: BUCETAAAAAAA | BUCETAAAAAAA | BUCETAAAAAAA
CLIENTE: DFDF | RAZÃO SOCIAL: DF | ENDEREÇO: DFDFD | E-MAIL P/ CONTATO: LEONARDO | FABIANO | JOAO
CLIENTE: SDDSD | RAZÃO SOCIAL: DSD | ENDEREÇO: SDSD | E-MAIL P/ CONTATO: LEONARDO | FABIANO | JOAO
CLIENTE: DDD | RAZÃO SOCIAL: DD | ENDEREÇO: DD | E-MAIL P/ CONTATO: LEONARDO | THOMPSON | SILVANO
CLIENTE: DDD | RAZÃO SOCIAL: DD | ENDEREÇO: DD | E-MAIL P/ CONTATO: LEONARDO |  | SILVANO
CLIENTE: DFDF | RAZÃO SOCIAL: DFDDF | ENDEREÇO: DFDF | E-MAIL P/ CONTATO: LEONARDO@@ | THOMPSON@@ | FABIANO@@
CLIENTE: XX | RAZÃO SOCIAL: XX | ENDEREÇO: XX | E-MAIL P/ CONTATO: WWWWWWWWWWWWWWWWWWWWWWWW@@@@ | XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX@@@@ | MMMMMMMMMMMMMMMMMMMM@@@@
CLIENTE: SDASD | RAZÃO SOCIAL: D | ENDEREÇO: ASDASD | E-MAIL P/ CONTATO: EMAIL1 | EMAIL2 | EMAIL3
CLIENTE: SASASA | RAZÃO SOCIAL: ASASS | ENDEREÇO: SASAS | E-MAIL P/ CONTATO: EMAILPARAJUNTO1 | EMAILPARAJUNTO2 | EMAILPARAJUNTO3
CLIENTE: COM | RAZÃO SOCIAL: COM | ENDEREÇO: COM | E-MAIL P/ CONTATO: UNIDA33DEGRAFICA@GMAIL.COMDD | UNIDADEGRAFICA@GMAIL.COM111 | UNID2ADEGRAFICA@GMAIL.COM
CLIENTE: D | RAZÃO SOCIAL: D | ENDEREÇO: DD | E-MAIL P/ CONTATO: ZZZZZZZZ | XXXXXXXX | MMMMM
CLIENTE: D | RAZÃO SOCIAL: D | ENDEREÇO: D | E-MAIL P/ CONTATO: THOMPSON | THOMPSON | SILVANO
